SX/EE,User ID ,TrustAccountID,ShareCode,InstrumentID,Qty,Base Cost ©,Excel Date,SettlementDate,Last Price,BrokerID_From,BrokerID_To,Reference,,
EE,1809263,8275727,STXWDM,2827,-4,5574.403385,2025/09/10,2025-09-10,10863.00,9 ,26 ,NT -2025-09-10,NT -,2025/09/10
EE,1809263,8275727,STXDIV,410,-4918,294.6567435,2025/09/10,2025-09-10,274.00,9 ,26 ,NT -2025-09-10,NT -,2025/09/10
EE,832415,3287224,CPI,68,21,362416,2025/09/10,2025-09-10,341475.00,14 ,9 ,NT -2025-09-10,NT -,2025/09/10
EE,2860090,13675198,STXCAP,5118,2855,5040,2025/09/10,2025-09-10,5040.00,27 ,9 ,NT -2025-09-10,NT -,2025/09/10
EE,1771161,8080909,VOD,310,1622,0,2025/09/10,2025-09-10,13589.00,7 ,9 ,NT -2025-09-10,NT -,2025/09/10
EE,1771161,8080909,TKG,289,3874,0,2025/09/10,2025-09-10,5556.00,7 ,9 ,NT -2025-09-10,NT -,2025/09/10
SX,494885,1743329,STXDIV,600,4918,294.6567435,2025/09/04,2025-09-04,275.00,9 ,26 ,NT -2025-09-04,NT -,2025/09/04
SX,494885,1743329,STXWDM,2830,4,5574.403385,2025/09/04,2025-09-04,10853.00,9 ,26 ,NT -2025-09-04,NT -,2025/09/04
